Case ID;Activity;Creation Date;;Time Stamp
R5002660000041424157631;Create TO Picking Rack;12/12/2013;13:00:00;12/12/2013 13:00
R5002660000041424157631;Good Issue;28/12/2013;16:00;28/12/2013 16:00
R5002660000041424157631;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157630;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157630;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157630;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157630;Create TO Picking Rack;11/12/2013;13:00:00;11/12/2013 13:00
R5002660000041424157630;Good Issue;28/12/2013;16:00;28/12/2013 16:00
R5002660000041424157630;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157629;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157629;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157629;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157629;Create TO Picking Rack;09/12/2013;13:00:00;09/12/2013 13:00
R5002660000041424157629;Good Issue;27/12/2013;16:00;27/12/2013 16:00
R5002660000041424157629;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157628;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157628;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157628;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157628;Create TO Picking Rack;08/12/2013;13:00:00;08/12/2013 13:00
R5002660000041424157628;Good Issue;27/12/2013;16:00;27/12/2013 16:00
R5002660000041424157628;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157627;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157627;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157627;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157627;Create TO Picking Rack;08/12/2013;13:00:00;08/12/2013 13:00
R5002660000041424157627;Good Issue;27/12/2013;16:00;27/12/2013 16:00
R5002660000041424157627;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157626;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157626;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157626;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157626;Create TO Picking Rack;07/12/2013;13:00:00;07/12/2013 13:00
R5002660000041424157626;Good Issue;27/12/2013;16:00;27/12/2013 16:00
R5002660000041424157626;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157625;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157625;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157625;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157625;Create TO Picking Rack;06/12/2013;13:00:00;06/12/2013 13:00
R5002660000041424157625;Good Issue;26/12/2013;16:00;26/12/2013 16:00
R5002660000041424157625;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157624;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157624;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157624;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157624;Create TO Picking Rack;04/12/2013;13:00:00;04/12/2013 13:00
R5002660000041424157624;Good Issue;26/12/2013;16:00;26/12/2013 16:00
R5002660000041424157624;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157623;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157623;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157623;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157623;Create TO Picking Rack;17/12/2013;13:00:00;17/12/2013 13:00
R5002660000041424157623;Good Issue;26/12/2013;16:00;26/12/2013 16:00
R5002660000041424157623;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157622;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157622;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157622;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157622;Create TO Picking Rack;13/12/2013;13:00:00;13/12/2013 13:00
R5002660000041424157622;Good Issue;24/12/2013;16:00;24/12/2013 16:00
R5002660000041424157622;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157621;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157621;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157621;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157621;Create TO Picking Rack;12/12/2013;13:00:00;12/12/2013 13:00
R5002660000041424157621;Good Issue;24/12/2013;16:00;24/12/2013 16:00
R5002660000041424157621;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157620;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157620;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157620;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157620;Create TO Picking Rack;12/12/2013;13:00:00;12/12/2013 13:00
R5002660000041424157620;Good Issue;24/12/2013;16:00;24/12/2013 16:00
R5002660000041424157620;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157619;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157619;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157619;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157619;Create TO Picking Rack;11/12/2013;13:00:00;11/12/2013 13:00
R5002660000041424157619;Good Issue;23/12/2013;16:00;23/12/2013 16:00
R5002660000041424157619;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157618;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157618;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157618;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157618;Create TO Picking Rack;09/12/2013;13:00:00;09/12/2013 13:00
R5002660000041424157618;Good Issue;23/12/2013;16:00;23/12/2013 16:00
R5002660000041424157618;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157617;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157617;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157617;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157617;Create TO Picking Rack;08/12/2013;13:00:00;08/12/2013 13:00
R5002660000041424157617;Good Issue;23/12/2013;16:00;23/12/2013 16:00
R5002660000041424157617;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157616;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157616;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157616;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157616;Create TO Picking Rack;08/12/2013;13:00:00;08/12/2013 13:00
R5002660000041424157616;Good Issue;21/12/2013;16:00;21/12/2013 16:00
R5002660000041424157616;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157615;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157615;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157615;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157615;Create TO Picking Rack;07/12/2013;13:00:00;07/12/2013 13:00
R5002660000041424157615;Good Issue;21/12/2013;16:00;21/12/2013 16:00
R5002660000041424157615;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157614;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157614;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157614;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157614;Create TO Picking Rack;06/12/2013;13:00:00;06/12/2013 13:00
R5002660000041424157614;Good Issue;21/12/2013;16:00;21/12/2013 16:00
R5002660000041424157614;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157613;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157613;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157613;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157613;Create TO Picking Rack;04/12/2013;13:00:00;04/12/2013 13:00
R5002660000041424157613;Good Issue;21/12/2013;16:00;21/12/2013 16:00
R5002660000041424157613;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157612;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157612;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157612;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157612;Create TO Picking Rack;17/12/2013;13:00:00;17/12/2013 13:00
R5002660000041424157612;Good Issue;20/12/2013;16:00;20/12/2013 16:00
R5002660000041424157612;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157611;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157611;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R5002660000041424157611;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157611;Create TO Picking Rack;13/12/2013;13:00:00;13/12/2013 13:00
R5002660000041424157611;Good Issue;20/12/2013;16:00;20/12/2013 16:00
R5002660000041424157611;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R5002660000041424157610;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R5002660000041424157610;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
